action,category,os,signature,"signature_id",subcategory,status,object,"object_category"
deleted,"Object Access","Windows 7, Windows Server 2008 R2","The audit log was cleared",1102,"Log clear",success,Microsoft-Windows-Eventlog,auditlog
success,System,"Windows Vista, Windows Server 2008","Windows is starting up.",4608,"Security State Change",,,
unknown,System,"Windows Vista, Windows Server 2008","Windows is shutting down.",4609,"Security State Change",,,
unknown,System,"Windows Vista, Windows Server 2008","An authentication package has been loaded by the Local Security Authority.",4610,"Security System Extension",,,
success,System,"Windows Vista, Windows Server 2008","A trusted logon process has been registered with the Local Security Authority.",4611,"Security System Extension",,,
unknown,System,"Windows Vista, Windows Server 2008","Internal resources allocated for the queuing of audit messages have been exhausted, leading to the loss of some audits.",4612,"System Integrity",,,
unknown,System,"Windows Vista, Windows Server 2008","A notification package has been loaded by the Security Account Manager.",4614,"Security System Extension",,,
unknown,System,"Windows Vista, Windows Server 2008","Invalid use of LPC port.",4615,"System Integrity",,,
success,System,"Windows Vista, Windows Server 2008","The system time was changed.",4616,"Security State Change",,,
unknown,System,"Windows Vista, Windows Server 2008","A monitored security event pattern has occurred.",4618,"System Integrity",,,
unknown,System,"Windows Vista, Windows Server 2008","Administrator recovered system from CrashOnAuditFail. Users who are not administrators will now be allowed to log on. Some auditable activity might not have been recorded.",4621,"Security State Change",,,
unknown,System,"Windows Vista, Windows Server 2008","A security package has been loaded by the Local Security Authority.",4622,"Security System Extension",,,
success,"Logon/Logoff","Windows Vista, Windows Server 2008","An account was successfully logged on.",4624,Logon,,,
failure,"Logon/Logoff","Windows Vista, Windows Server 2008","An account failed to log on.",4625,Logon,,,
unknown,"Logon/Logoff","Windows 8, Windows Server 2012","User/Device claims information.",4626,Logon,,,
success,"Logon/Logoff","Windows Vista, Windows Server 2008","An account was logged off.",4634,Logoff,,,
unknown,"Logon/Logoff","Windows Vista, Windows Server 2008","IKE DoS-prevention mode started.",4646,"IPsec Main Mode",,,
success,"Logon/Logoff","Windows Vista, Windows Server 2008","User initiated logoff.",4647,Logoff,,,
success,"Logon/Logoff","Windows Vista, Windows Server 2008","A logon was attempted using explicit credentials.",4648,Logon,,,
unknown,"Logon/Logoff","Windows Vista, Windows Server 2008","A replay attack was detected.",4649,"Other Logon/Logoff Events",,,
unknown,"Logon/Logoff","Windows Vista, Windows Server 2008","An IPsec Main Mode security association was established. Extended Mode was not enabled. Certificate authentication was not used.",4650,"IPsec Main Mode",,,
unknown,"Logon/Logoff","Windows Vista, Windows Server 2008","An IPsec Main Mode security association was established. Extended Mode was not enabled. A certificate was used for authentication.",4651,"IPsec Main Mode",,,
unknown,"Logon/Logoff","Windows Vista, Windows Server 2008","An IPsec Main Mode negotiation failed.",4652,"IPsec Main Mode",,,
failure,"Logon/Logoff","Windows Vista, Windows Server 2008","An IPsec Main Mode negotiation failed.",4653,"IPsec Main Mode",,,
unknown,"Logon/Logoff","Windows Vista, Windows Server 2008","An IPsec Quick Mode negotiation failed.",4654,"IPsec Quick Mode",,,
unknown,"Logon/Logoff","Windows Vista, Windows Server 2008","An IPsec Main Mode security association ended.",4655,"IPsec Main Mode",,,
failure,"Object Access","Windows Vista, Windows Server 2008","A handle to an object was requested.",4656,"Handle Manipulation",,,
